(FLU2, DL2)
(DL2, CNT2)
(CNT2, IFOZ1)
(IFOZ1, PASS3)
(PASS3, SRLZ1)
(SRLZ1, PING1)
(PING1, PLUZ1)
(PLUZ1, PGON1)
(PGON1, CRTO1)
(CRTO1, MLH1)
(MLH1, HMLM3)
(HMLM3, TIM1)
(TIM1, CQ5)
(CQ5, PCID3)
(PCID3, PCID1)
(PCID1, SAR1)
(SAR1, AVM1)
(AVM1, MTSP1)
(MTSP1, GODH5)
(GODH5, LOTA1)
(LOTA1, SP1)
(SP1, MATM6)
(AEPT1, PRU2)
(PRU2, BRRO4)
(BRRO4, ZIND4)
(ZIND4, ESTR2)
(ESTR2, CRTM2)
(CRTM2, SEND2)
(SEND2, STLZ4)
(STLZ4, QTM1)
(QTM1, RAL3)
(RAL3, PDM1)
(PDM1, PMVA1)
(PMVA1, CHC1)
(CHC1, GU1)
(GU1, GDM11)
(GDM11, CCA2)
(CCA2, QTAD1)
(QTAD1, PIN1)
(PIN1, MAII1)
(MAII1, JZOO2)
(JZOO2, VBR1)
(VBR1, MAIA4)
(MAIA4, SBO2)
(SBO2, LUCM2)
(LUCM2, LAGE2)
(LAGE2, VSG1)
(VSG1, TVAS1)
(TVAS1, LVR4)
(LVR4, 5OTB2)
(5OTB2, HB2)
(HB2, SM4)
(SM4, PDAM4)
(PDAM4, GUFS2)
(GUFS2, FLO2)
(FLO2, GUFE2)
(GUFE2, ARCO2)
(ARCO2, MTA2)
(MTA2, MALM2)
(MALM2, AZN2)
(AZN2, CNV2)
(CNV2, ZOID2)
(ZOID2, ASZ4)
(ASZ4, SSD2)
(SSD2, ESAS2)
(ESAS2, LARJ2)
(LARJ2, SMM3)
(SMM3, MOD2)
(MOD2, OG)
(OG, DB2)
(DB2, ASPL1)
(ASPL1, IPO4)
(IPO4, HSJ3)
(BS9, GONS1)
(GONS1, GGT3)
(GGT3, CHAS1)
(CHAS1, NOC)
(NOC, ARRB1)
(ARRB1, CCB1)
(CCB1, 28J1)
(28J1, EC)
(EC, LGM1)
(LGM1, LGEQ1)
(LGEQ1, TFL1)
(TFL1, MJP1)
(MJP1, PRMR1)
(PRMR1, LV1)
(LV1, COB4)
(COB4, AGOM1)
(AGOM1, RMT1)
(RMT1, TMTS1)
(TMTS1, RSMT1)
(RSMT1, MAKR5)
(MAKR5, GSHP1)
(GSHP1, TELH1)
(TELH1, INFH1)
(INFH1, SRRS1)
(SRRS1, CSSR1)
(CSSR1, LGET1)
(LGET1, SO1)
(SO1, CCC1)
(CCC1, ROSA1)
(ROSA1, RTP1)
(RTP1, EBSR1)
(EBSR1, SRD1)
(SRD1, EMZ1)
(EMZ1, HSS1)
(HSS1, MV3)
(MV3, SALM1)
(SALM1, MIM1)
(MIM1, UVDE1)
(UVDE1, VDES)
(VDES, VDE)
(SO4, DJM2)
(DJM2, ANG)
(ANG, JD2)
(JD2, PDC)
(PDC, LGAV2)
(LGAV2, HG3)
(HG3, GENT)
(GENT, CM3)
(CM3, GNR2)
(GNR2, PLU2)
(PLU2, ELVG2)
(ELVG2, RBR2)
(RBR2, MS1)
(MS1, SBNT3)
(SBNT3, PRDJ)
(PRDJ, TRD3)
(CMO3, )
(GGF1, CMO3)
(PRFL, GGF1)
(AAL, PRFL)
(PRDJ, AAL)
(SCAT2, PRDJ)
(BTLH7, SCAT2)
(BGND, BTLH7)
(BTLH4, BGND)
(PRL8, BTLH4)
(CLRG, PRL8)
(LVP, JGD2)
(JGD2, ELV2)
(ELV2, ACB2)
(ACB2, PIC2)
(PIC2, FTS2)
(FTS2, ALUM2)
(ALUM2, JMA)
(JMA, BGJ2)
(BGJ2, SCC2)
(SCC2, ESPH2)
(ESPH2, QCMN2)
(QCMN2, RTV2)
(RTV2, RFL2)
(RFL2, TFL2)
(TFL2, CDL2)
(CDL2, LGM2)
(LGM2, AH)
(AH, 28J2)
(28J2, CCB2)
(CCB2, ARRB2)
(ARRB2, JA2)
(JA2, CHAS2)
(CHAS2, NOC)
(NOC, JM2)
(JM2, PRG1)
(PRG1, BS1)
(BS1, BCM2)
(BCM2, CMS6)
(MPL9, RALG)
(RALG, CAZ)
(CAZ, SCR4)
(SCR4, MAV1)
(MAV1, ANT1)
(ANT1, RC1)
(RC1, BRCC1)
(BRCC1, STJ1)
(STJ1, RGSM1)
(RGSM1, ROTA2)
(ROTA2, ARS5)
(ARS5, ENX3)
(ENX3, JFPD1)
(JFPD1, LCMS1)
(LCMS1, HUMB1)
(HUMB1, TNG1)
(TNG1, PIV1)
(PIV1, GLV1)
(GLV1, FRN1)
(FRN1, TVBO1)
(TVBO1, TVFO2)
(TVFO2, CRRS2)
(CRRS2, JPR2)
(JPR2, AALM1)
(AALM1, STG3)
(STG3, FARM2)
(FARM2, PIT2)
(PIT2, CN2)
(CN2, MED2)
(MED2, DPA2)
(DPA2, RTE4)
(AL2, TRD6)
(TRD6, PRFL)
(PRFL, GGF)
(GGF, CMO)
(CMO, HSA5)
(HSA5, PAL3)
(PAL3, PRG1)
(PRG1, BS1)
(BS1, BCM3)
(BCM3, GRC1)
(GRC1, CSBV)
(CSBV, SDP1)
(SDP1, ABSS1)
(ABSS1, SJBC1)
(SJBC1, SJB1)
(SJB1, IRM1)
(IRM1, CSR1)
(CSR1, BRCP1)
(BRCP1, ANTG1)
(ANTG1, BFTM1)
(BFTM1, REV1)
(REV1, LDDM1)
(LDDM1, PDVD4)
(PDVD4, IGAL2)
(IGAL2, PFMA1)
(PFMA1, ALD1)
(ALD1, VLRA3)
(VLRA3, BRBQ1)
(BRBQ1, ACAR)
(ACAR, ESGZ1)
(ESGZ1, DNAP3)
(DNAP3, FNTL1)
(FNTL1, ACD1)
(ACD1, BRTC5)
(BRTC5, MTSP1)
(ERM2, ERM4)
(ERM4, ERMI2)
(ERMI2, RIGR2)
(RIGR2, RGFT1)
(RGFT1, RLC1)
(RLC1, TVG2)
(TVG2, TSL2)
(TSL2, SAMP2)
(SAMP2, PHIP2)
(PHIP2, ARDG4)
(ARDG4, TARG2)
(TARG2, PNHL2)
(PNHL2, PRMV2)
(PRMV2, MPN2)
(MPN2, ZIND2)
(ZIND2, ANV2)
(ANV2, CSAD4)
(CSAD4, RCNH2)
(RCNH2, RARR2)
(RARR2, VESS2)
(VESS2, AGR2)
(AGR2, PMAI2)
(PMAI2, RGLO2)
(RGLO2, TRM2)
(TRM2, PRD2)
(PRD2, RGLE2)
(RGLE2, GGC2)
(GGC2, FMGO2)
(FMGO2, SRG2)
(SRG2, DCPF2)
(DCPF2, 5OUT2)
(5OUT2, DDN2)
(DDN2, SGMC2)
(SGMC2, GLV2)
(GLV2, PIV2)
(PIV2, TNG2)
(TNG2, HUMB2)
(HUMB2, ARSF4)
(ARSF4, ARSM2)
(ARSM2, ARS5)
(ARS5, ENX2)
(ENX2, ASP4)
(ASP4, HSJ10)
(HSJ10, HSJ1)
(MFZ2, PRI4)
(PRI4, PVC2)
(PVC2, JBR2)
(JBR2, SRVM2)
(SRVM2, BPTL2)
(BPTL2, INSA2)
(INSA2, CMPT2)
(CMPT2, PT2)
(PT2, PJUV2)
(PJUV2, PGM2)
(PGM2, FLU1)
(FLU1, STC2)
(STC2, ALX2)
(ALX2, LRD2)
(LRD2, JB2)
(JB2, CART2)
(CART2, PLNT2)
(PLNT2, GGT2)
(GGT2, JM2)
(JM2, PRG6)
(PRG6, PAL4)
(PAL4, HSA)
(HSA, CORD7)
(CORD7, SBNT2)
(SBNT2, LPDZ)
(LPDZ, BTLH6)
(BTLH6, SLZ1)
(SLZ1, DT2)
(DT2, PRDR2)
(PRDR2, HER1)
(HER1, CSS2)
(CSS2, PBSS1)
(PBSS1, CMP1)
(MTSP2, SAR2)
(SAR2, DJ1)
(DJ1, CFM)
(CFM, GCZ6)
(GCZ6, BRBQ4)
(BRBQ4, BRNS)
(BRNS, TVLR1)
(TVLR1, VLRA4)
(VLRA4, ALD2)
(ALD2, PFMA2)
(PFMA2, IGAL1)
(IGAL1, PDVD3)
(PDVD3, LDSM1)
(LDSM1, HMGL2)
(HMGL2, LDD6)
(LDD6, LDDM)
(LDDM, REV2)
(REV2, BFTM2)
(BFTM2, ANTG2)
(ANTG2, BRCP2)
(BRCP2, CSR2)
(CSR2, IRM2)
(IRM2, SJB2)
(SJB2, SJBC2)
(SJBC2, ABSS2)
(ABSS2, RBSS2)
(RBSS2, SDP2)
(SDP2, MRS2)
(MRS2, BCM4)
(BCM4, BS2)
(BS2, PRG2)
(PRG2, PAL4)
(PAL4, HSA)
(HSA, CORD7)
(CORD7, AL2)
(CMS1, BCM5)
(BCM5, BS8)
(BS8, PRG3)
(PRG3, JM1)
(JM1, GGT3)
(GGT3, CHAS3)
(CHAS3, JA1)
(JA1, ARRB3)
(ARRB3, CCB1)
(CCB1, 28J1)
(28J1, EC)
(EC, LGM1)
(LGM1, LGEQ1)
(LGEQ1, TFL1)
(TFL1, MJP1)
(MJP1, PRMR1)
(PRMR1, LV1)
(LV1, COB6)
(COB6, RGR1)
(RGR1, APRD1)
(APRD1, RFON1)
(RFON1, HRC1)
(HRC1, AKI1)
(AKI1, MAKR3)
(MAKR3, GSHP1)
(GSHP1, TELH1)
(TELH1, INFH1)
(INFH1, SRRS1)
(SRRS1, DP5)
(DP5, PREP2)
(PREP2, MCB)
(MCB, DJM1)
(DJM1, SO2)
(SO2, ARR)
(ARR, FMPT)
(FMPT, GAZ1)
(GAZ1, BRIB1)
(BRIB1, BRC1)
(BRC1, ACDR1)
(ACDR1, LBM1)
(LBM1, FCAS1)
(FCAS1, QTR2)
(CMS2, BCM1)
(BCM1, AGM1)
(AGM1, APT1)
(APT1, CART)
(CART, JB1)
(JB1, LRD1)
(LRD1, ALX1)
(ALX1, STC1)
(STC1, FLU4)
(FLU4, PGM1)
(PGM1, PJUV1)
(PJUV1, PT3)
(PT3, CMPT1)
(CMPT1, INSA1)
(INSA1, BPTL1)
(BPTL1, JRC1)
(JRC1, PFOZ1)
(PFOZ1, 1SRV1)
(1SRV1, CREI1)
(CREI1, LGO5)
(LGO5, ABVT2)
(ABVT2, FTM4)
(FTM4, LGO2)
(LGO2, PRCD1)
(PRCD1, BARO1)
(BARO1, IGAL1)
(IGAL1, PDVD3)
(PDVD3, LDSM1)
(LDSM1, HMGL2)
(HMGL2, LDD6)
(LDD6, PREC1)
(PREC1, RUL3)
(RUL3, SETB)
(SETB, NSHP)
(TRD4, AL7)
(AL7, SBNT)
(SBNT, MS2)
(MS2, RBR1)
(RBR1, ELVG1)
(ELVG1, 1PLU1)
(1PLU1, 1GNR1)
(1GNR1, 1GENT1)
(1GENT1, 1VDM1)
(1VDM1, 1VRM1)
(1VRM1, 1JF1)
(1JF1, AGRO1)
(AGRO1, AEC1)
(AEC1, LGM1)
(LGM1, LGEQ1)
(LGEQ1, TFL1)
(TFL1, MJP1)
(MJP1, PRMR1)
(PRMR1, LV1)
(LV1, COB4)
(COB4, AGOM1)
(AGOM1, RMT1)
(RMT1, QBV1)
(QBV1, GDR1)
(GDR1, PTD1)
(PTD1, RDA1)
(RDA1, NVL1)
(NVL1, PCTO1)
(PCTO1, MNH1)
(MNH1, GJ1)
(GJ1, AGU1)
(AGU1, ISS1)
(ISS1, CAB3)
(CAB3, JSP)
(JSP, MTE)
(MTE, TLR)
(TLR, TAN)
(TAN, CVO)
(CVO, ALNV1)
(ALNV1, NZ1)
(NZ1, RMAR1)
(RMAR1, PMS1)
(PMS1, MVTO1)
(MVTO1, CERR1)
(CERR1, PRQC1)
(PRQC1, RCH1)
(RCH1, ACH1)
(ACH1, RZAM1)
(RZAM1, RRDL1)
(RRDL1, MDL1)
(MDL1, MDLP)
(CORD3, CMO)
(CMO, HSA5)
(HSA5, PAL3)
(PAL3, PRG1)
(PRG1, BS1)
(BS1, BCM3)
(BCM3, GRC1)
(GRC1, CSBV)
(CSBV, SDP1)
(SDP1, FZIN1)
(FZIN1, RAEP1)
(RAEP1, CONT)
(CONT, AZC1)
(AZC1, HSPH1)
(HSPH1, QSEC1)
(QSEC1, PREA1)
(PREA1, ESGZ1)
(ESGZ1, DNAP3)
(DNAP3, CRV1)
(CRV1, MATC1)
(MATC1, GOA1)
(GOA1, PQBT2)
(PQBT2, GODH3)
(GODH3, PDZ1)
(PDZ1, MATM1)
(MATM1, SMAT1)
(SMAT1, RGDI3)
(RGDI3, IKEA1)
(IKEA1, MARS1)
(MARS1, LFC)
(LFC, FMAI)
(FMAI, REXP4)
(REXP4, EXP2)
(EXP2, AEP1)
(AEP1, C61)
(C61, QSTG1)
(QSTG1, PMV1)
(PMV1, FTV1)
(FTV1, FSCA1)
(FSCA1, APDL1)
(APDL1, PLE1)
(PLE1, PISM1)
(PISM1, ESBN1)
(ESBN1, IGRL2)
(IGRL2, PCVL1)
(PCVL1, SOLP1)
(SOLP1, HMBC1)
(HMBC1, LCP1)
(TVG4, RLC2)
(RLC2, RGFT2)
(RGFT2, MSHP4)
(MSHP4, CML2)
(CML2, GAN2)
(GAN2, MRT2)
(MRT2, MEIL2)
(MEIL2, AM2)
(AM2, PCUA2)
(PCUA2, CORI2)
(CORI2, CCOR)
(CCOR, CORM2)
(CORM2, BRO2)
(BRO2, SGM)
(SGM, FRN2)
(FRN2, CRPO2)
(CRPO2, GIT2)
(GIT2, TRI2)
(TRI2, AFEI2)
(AFEI2, ARSM2)
(ARSM2, ARS3)
(ARS3, AA2)
(AA2, ACO2)
(ACO2, STJ3)
(STJ3, BRRS2)
(BRRS2, CF2)
(CF2, LW2)
(LW2, SVT4)
(SVT4, PLIM2)
(PLIM2, COMB2)
(COMB2, PSOC2)
(PSOC2, MPL4)
(MPL4, DCAS2)
(DCAS2, FTNH2)
(FTNH2, BLRB3)
(BARC2, JFB3)
(JFB3, PAS2)
(PAS2, HIP2)
(HIP2, AQR2)
(AQR2, PINT2)
(PINT2, AC4)
(AC4, FCR2)
(FCR2, FOR2)
(FOR2, MAIA)
(MAIA, VIS)
(VIS, PSP1)
(PSP1, IMAI2)
(IMAI2, SL1)
(SL1, LVR2)
(LVR2, CBN2)
(CBN2, CTSS2)
(CTSS2, AAX2)
(AAX2, SRSD2)
(SRSD2, STN2)
(STN2, TF2)
(TF2, PRNT)
(PRNT, PMQ2)
(PMQ2, PP2)
(PP2, ASZ2)
(ASZ2, CSSM2)
(CSSM2, SM2)
(SM2, SMM2)
(SMM2, SMMM2)
(SMMM2, FLOS2)
(FLOS2, TLHO2)
(TLHO2, AML4)
(AML4, AZ)
(AZ, BLG2)
(BLG2, TLHR2)
(TLHR2, CAM3)
(CAM3, CI32)
(CI32, ADA3)
(ADA3, CSP2)
(CSP2, VFM6)
(VFM6, CNTT2)
(CNTT2, HSM4)
(HSM4, LAPA2)
(LAPA2, PRR5)
(PRR5, TRD5)
(TRD5, AAL1)
(AAL1, AAL2)
(VDE, UVDE2)
(UVDE2, MIM2)
(MIM2, SALM2)
(SALM2, MV2)
(MV2, HSS2)
(HSS2, EMZ2)
(EMZ2, SRD2)
(SRD2, EBSR2)
(EBSR2, RTP2)
(RTP2, CRVL)
(CRVL, CCC2)
(CCC2, SO2)
(SO2, LGET2)
(LGET2, CSSR2)
(CSSR2, SRRS2)
(SRRS2, BRRS)
(BRRS, TCVC)
(TCVC, ALPR1)
(ALPR1, VDV2)
(VDV2, INFH2)
(INFH2, TELH2)
(TELH2, GSHP2)
(GSHP2, MAKR6)
(MAKR6, RSMT2)
(RSMT2, TMTS2)
(TMTS2, RMT3)
(RMT3, LGDM2)
(LGDM2, COB3)
(COB3, LV2)
(LV2, PRMR2)
(PRMR2, MJP2)
(MJP2, CDL2)
(CDL2, LGM2)
(LGM2, AH)
(AH, 28J2)
(28J2, CCB2)
(CCB2, ARRB2)
(ARRB2, JA2)
(JA2, CHAS2)
(CHAS2, NOC)
(NOC, GONS2)
(GONS2, BS9)
(SPC, RF2)
(RF2, COVH4)
(COVH4, BH2)
(BH2, C302)
(C302, BV2)
(BV2, ATSR2)
(ATSR2, BRR2)
(BRR2, ESTV2)
(ESTV2, STE5)
(STE5, STCZ2)
(STCZ2, STO2)
(STO2, VARZ2)
(VARZ2, CB2)
(CB2, CV2)
(CV2, DAC2)
(DAC2, ASOT2)
(ASOT2, INFS2)
(INFS2, OTH2)
(OTH2, STBX2)
(STBX2, SCT2)
(SCT2, MEIR)
(MEIR, SR4)
(SR4, SRGB3)
(SRGB3, ILH2)
(ILH2, CRT)
(CRT, CHOL2)
(CHOL2, CRJ2)
(CRJ2, EDRG4)
(EDRG4, FVLH2)
(FVLH2, CSC)
(CSC, PRF2)
(PRF2, EIR3)
(EIR3, BFM4)
(BFM4, C24A5)
(C24A5, DJOA4)
(DJOA4, BLM)
(BLM, MCBL)
(MCBL, PRDJ1)
(PRDJ1, HSA1)
(HSA1, CORD2)
(MDLP, MDL2)
(MDL2, RRDL2)
(RRDL2, RZAM2)
(RZAM2, ACH2)
(ACH2, RCH2)
(RCH2, PRQC2)
(PRQC2, CERR2)
(CERR2, RPR)
(RPR, MVTO2)
(MVTO2, PMS2)
(PMS2, RMAR2)
(RMAR2, NZ2)
(NZ2, ALNV2)
(ALNV2, MDLI)
(MDLI, FRGO)
(FRGO, SAN3)
(SAN3, JSP2)
(JSP2, CAB4)
(CAB4, ISS2)
(ISS2, AGU2)
(AGU2, GJ2)
(GJ2, MNH2)
(MNH2, PCTO2)
(PCTO2, NVL2)
(NVL2, PDI2)
(PDI2, RDA2)
(RDA2, PTD2)
(PTD2, GDR2)
(GDR2, QBV2)
(QBV2, RMT2)
(RMT2, LGDM2)
(LGDM2, COB3)
(COB3, LV2)
(LV2, PRMR2)
(PRMR2, MJP2)
(MJP2, CDL2)
(CDL2, LGM2)
(LGM2, AEC2)
(AEC2, AGRO2)
(AGRO2, VTC2)
(VTC2, FTN2)
(FTN2, CAVE4)
(CAVE4, 1LAJ2)
(1LAJ2, SRP)
(SRP, 1VRM2)
(1VRM2, 1VDM2)
(1VDM2, 1GENT2)
(1GENT2, GNR2)
(GNR2, PLU2)
(PLU2, ELVG2)
(ELVG2, RBR2)
(RBR2, MS1)
(MS1, SBNT3)
(SBNT3, PRDJ)
(PRDJ, TRD4)
(HSJ3, RCA)
(RCA, FEL1)
(FEL1, CVD1)
(CVD1, ISCP1)
(ISCP1, DRB1)
(DRB1, OG1)
(OG1, MOD1)
(MOD1, SMM4)
(SMM4, LARJ1)
(LARJ1, ESAS1)
(ESAS1, SSD1)
(SSD1, ASZ3)
(ASZ3, ZOID1)
(ZOID1, CNV1)
(CNV1, AZN1)
(AZN1, MALM1)
(MALM1, MTA3)
(MTA3, ARCO1)
(ARCO1, GUFE1)
(GUFE1, FLO1)
(FLO1, GUFS1)
(GUFS1, PDAM3)
(PDAM3, SM3)
(SM3, HB1)
(HB1, 5OTB3)
(5OTB3, LVR3)
(LVR3, SL2)
(SL2, IMAI1)
(IMAI1, LAGE3)
(LAGE3, LUCM1)
(LUCM1, SBO1)
(SBO1, MAIA)
(MAIA, VBR2)
(VBR2, JZOO1)
(JZOO1, MAIZ)
